symbol,peers
RELIANCE,"BHARTIARTL,TCS,HDFCBANK,ICICIBANK,INFY,ITC,TITAN"
TCS,"INFY,WIPRO,HCLTECH,TECHM,LTIM,LTTS"
INFY,"TCS,WIPRO,HCLTECH,TECHM,LTIM,LTTS"
WIPRO,"TCS,INFY,HCLTECH,TECHM,LTIM"
HCLTECH,"TCS,INFY,WIPRO,TECHM,LTIM"
TECHM,"TCS,INFY,WIPRO,HCLTECH,LTIM"
LTIM,"TCS,INFY,WIPRO,HCLTECH,TECHM,LTTS"
LTTS,"TCS,INFY,WIPRO,HCLTECH,LTIM"
HDFCBANK,"ICICIBANK,AXISBANK,KOTAKBANK,SBIN,INDUSINDBK"
ICICIBANK,"HDFCBANK,AXISBANK,KOTAKBANK,SBIN,INDUSINDBK"
AXISBANK,"HDFCBANK,ICICIBANK,KOTAKBANK,SBIN,INDUSINDBK"
KOTAKBANK,"HDFCBANK,ICICIBANK,AXISBANK,SBIN,INDUSINDBK"
SBIN,"HDFCBANK,ICICIBANK,AXISBANK,KOTAKBANK,INDUSINDBK,PNB,BANKBARODA"
INDUSINDBK,"HDFCBANK,ICICIBANK,AXISBANK,KOTAKBANK,SBIN"
PNB,"SBIN,BANKBARODA,HDFCBANK,ICICIBANK,AXISBANK"
BANKBARODA,"SBIN,PNB,HDFCBANK,ICICIBANK,AXISBANK"
TATAMOTORS,"MARUTI,M&M,HYUNDAI,BAJAJ-AUTO"
MARUTI,"TATAMOTORS,M&M,HYUNDAI,BAJAJ-AUTO"
M&M,"TATAMOTORS,MARUTI,HYUNDAI,BAJAJ-AUTO"
HYUNDAI,"TATAMOTORS,MARUTI,M&M,BAJAJ-AUTO"
BAJAJ-AUTO,"TATAMOTORS,MARUTI,M&M,HYUNDAI"
TATASTEEL,"JSWSTEEL,BHARATFORG"
JSWSTEEL,"TATASTEEL,BHARATFORG"
NTPC,"POWERGRID,TATAPOWER,ADANIPOWER"
POWERGRID,"NTPC,TATAPOWER,ADANIPOWER"
TATAPOWER,"NTPC,POWERGRID,ADANIPOWER"
ADANIPOWER,"NTPC,POWERGRID,TATAPOWER"
ASIANPAINT,"BERGEPAINT,BIRLACORPN,ASTRAL,KANSAINER"
